wealth_state,income_state,var,variable,value
0.0,9.0,Q,var_l1,0.001873
0.0,9.0,Y,var_l1,9.0
0.01,6.0,C,var_l1,0.597133
0.01,6.0,H_own,var_l1,0.0
0.01,6.0,H_rent,var_l1,1.018594
0.01,6.0,Q,var_l1,0.019116
0.01,6.0,Y,var_l1,6.0
0.01,7.0,C,var_l1,0.784732
0.01,7.0,H_own,var_l1,0.0
0.01,7.0,H_rent,var_l1,1.3375465
0.01,7.0,Q,var_l1,0.01526
0.01,7.0,Y,var_l1,7.0
0.01,8.0,C,var_l1,0.829547
0.01,8.0,H_own,var_l1,0.0
0.01,8.0,H_rent,var_l1,1.393481
0.01,8.0,Q,var_l1,0.013755
0.01,8.0,Y,var_l1,8.0
0.01,9.0,C,var_l1,0.942018
0.01,9.0,H_own,var_l1,0.0
0.01,9.0,H_rent,var_l1,1.604674
0.01,9.0,Q,var_l1,0.012946
0.01,9.0,Y,var_l1,9.0
0.01,10.0,C,var_l1,1.146003
0.01,10.0,H_own,var_l1,0.0
0.01,10.0,H_rent,var_l1,2.036499
0.01,10.0,Q,var_l1,0.010483
0.01,10.0,Y,var_l1,10.0
0.02,6.0,C,var_l1,0.638992
0.02,6.0,H_own,var_l1,0.0
0.02,6.0,H_rent,var_l1,1.089144
0.02,6.0,Q,var_l1,0.021857
0.02,6.0,Y,var_l1,6.0
0.02,7.0,C,var_l1,0.8072205
0.02,7.0,H_own,var_l1,0.0
0.02,7.0,H_rent,var_l1,1.376157
0.02,7.0,Q,var_l1,0.025499
0.02,7.0,Y,var_l1,7.0
0.02,8.0,C,var_l1,0.838023
0.02,8.0,H_own,var_l1,0.0
0.02,8.0,H_rent,var_l1,1.428395
0.02,8.0,Q,var_l1,0.02302
0.02,8.0,Y,var_l1,8.0
0.02,9.0,C,var_l1,0.944569
0.02,9.0,H_own,var_l1,0.0
0.02,9.0,H_rent,var_l1,1.609058
0.02,9.0,Q,var_l1,0.02318
0.02,9.0,Y,var_l1,9.0
0.03,6.0,C,var_l1,0.579059
0.03,6.0,H_own,var_l1,0.0
0.03,6.0,H_rent,var_l1,0.986604
0.03,6.0,Q,var_l1,0.035155
0.03,6.0,Y,var_l1,6.0
0.03,7.0,C,var_l1,0.7982415
0.03,7.0,H_own,var_l1,0.0
0.03,7.0,H_rent,var_l1,1.3605035
0.03,7.0,Q,var_l1,0.033866
0.03,7.0,Y,var_l1,7.0
0.03,8.0,C,var_l1,0.85226
0.03,8.0,H_own,var_l1,0.0
0.03,8.0,H_rent,var_l1,1.451841
0.03,8.0,Q,var_l1,0.034797
0.03,8.0,Y,var_l1,8.0
0.03,9.0,C,var_l1,0.947997
0.03,9.0,H_own,var_l1,0.0
0.03,9.0,H_rent,var_l1,1.614952
0.03,9.0,Q,var_l1,0.036406
0.03,9.0,Y,var_l1,9.0
0.04,6.0,C,var_l1,0.563799
0.04,6.0,H_own,var_l1,0.0
0.04,6.0,H_rent,var_l1,0.960362
0.04,6.0,Q,var_l1,0.047974
0.04,6.0,Y,var_l1,6.0
0.04,7.0,C,var_l1,0.796929
0.04,7.0,H_own,var_l1,0.0
0.04,7.0,H_rent,var_l1,1.358287
0.04,7.0,Q,var_l1,0.0442505
0.04,7.0,Y,var_l1,7.0
0.04,8.0,C,var_l1,0.902762
0.04,8.0,H_own,var_l1,0.0
0.04,8.0,H_rent,var_l1,1.55209
0.04,8.0,Q,var_l1,0.044347
0.04,8.0,Y,var_l1,8.0
0.04,9.0,C,var_l1,0.947371
0.04,9.0,H_own,var_l1,0.0
0.04,9.0,H_rent,var_l1,1.613901
0.04,9.0,Q,var_l1,0.047048
0.04,9.0,Y,var_l1,9.0
0.05,6.0,C,var_l1,0.579518
0.05,6.0,H_own,var_l1,0.0
0.05,6.0,H_rent,var_l1,0.987235
0.05,6.0,Q,var_l1,0.053027
0.05,6.0,Y,var_l1,6.0
0.05,7.0,C,var_l1,0.801843
0.05,7.0,H_own,var_l1,0.0
0.05,7.0,H_rent,var_l1,1.366988
0.05,7.0,Q,var_l1,0.054783
0.05,7.0,Y,var_l1,7.0
0.05,8.0,C,var_l1,0.850383
0.05,8.0,H_own,var_l1,0.0
0.05,8.0,H_rent,var_l1,1.449152
0.05,8.0,Q,var_l1,0.058475
0.05,8.0,Y,var_l1,8.0
0.05,9.0,C,var_l1,0.946432
0.05,9.0,H_own,var_l1,0.0
0.05,9.0,H_rent,var_l1,1.61231
0.05,9.0,Q,var_l1,0.055531
0.05,9.0,Y,var_l1,9.0
0.06,6.0,C,var_l1,0.660218
0.06,6.0,H_own,var_l1,0.0
0.06,6.0,H_rent,var_l1,1.124593
0.06,6.0,Q,var_l1,0.064429
0.06,6.0,Y,var_l1,6.0
0.06,7.0,C,var_l1,0.795741
0.06,7.0,H_own,var_l1,0.0
0.06,7.0,H_rent,var_l1,1.356036
0.06,7.0,Q,var_l1,0.065171
0.06,7.0,Y,var_l1,7.0
0.06,8.0,C,var_l1,0.857379
0.06,8.0,H_own,var_l1,0.0
0.06,8.0,H_rent,var_l1,1.461658
0.06,8.0,Q,var_l1,0.063117
0.06,8.0,Y,var_l1,8.0
0.06,9.0,C,var_l1,0.945128
0.06,9.0,H_own,var_l1,0.0
0.06,9.0,H_rent,var_l1,1.610102
0.06,9.0,Q,var_l1,0.067303
0.06,9.0,Y,var_l1,9.0
0.07,6.0,C,var_l1,0.656676
0.07,6.0,H_own,var_l1,0.0
0.07,6.0,H_rent,var_l1,1.11911
0.07,6.0,Q,var_l1,0.0715745
0.07,6.0,Y,var_l1,6.0
0.07,7.0,C,var_l1,0.795547
0.07,7.0,H_own,var_l1,0.0
0.07,7.0,H_rent,var_l1,1.355667
0.07,7.0,Q,var_l1,0.074112
0.07,7.0,Y,var_l1,7.0
0.07,8.0,C,var_l1,0.866284
0.07,8.0,H_own,var_l1,0.0
0.07,8.0,H_rent,var_l1,1.476778
0.07,8.0,Q,var_l1,0.07296
0.07,8.0,Y,var_l1,8.0
0.07,9.0,C,var_l1,0.943899
0.07,9.0,H_own,var_l1,0.0
0.07,9.0,H_rent,var_l1,1.608019
0.07,9.0,Q,var_l1,0.078404
0.07,9.0,Y,var_l1,9.0
0.07,10.0,C,var_l1,1.119058
0.07,10.0,H_own,var_l1,0.0
0.07,10.0,H_rent,var_l1,1.907021
0.07,10.0,Q,var_l1,0.078434
0.07,10.0,Y,var_l1,10.0
