wealth_state,income_state,var,variable,value
0.02,10.0,Q,var_l1,0.02302
0.02,10.0,Y,var_l1,8.0
0.03,7.0,C,var_l1,0.679806
0.03,7.0,H_own,var_l1,0.0
0.03,7.0,H_rent,var_l1,1.1584585
0.03,7.0,Q,var_l1,0.0343025
0.03,7.0,Y,var_l1,6.0
0.03,8.0,C,var_l1,0.796711
0.03,8.0,H_own,var_l1,0.0
0.03,8.0,H_rent,var_l1,1.3571615
0.03,8.0,Q,var_l1,0.032282
0.03,8.0,Y,var_l1,7.0
0.03,9.0,C,var_l1,0.8522445
0.03,9.0,H_own,var_l1,0.0
0.03,9.0,H_rent,var_l1,1.4518215
0.03,9.0,Q,var_l1,0.034775
0.03,9.0,Y,var_l1,8.0
0.03,10.0,C,var_l1,0.852267
0.03,10.0,H_own,var_l1,0.0
0.03,10.0,H_rent,var_l1,1.451854
0.03,10.0,Q,var_l1,0.034823
0.03,10.0,Y,var_l1,8.0
0.04,7.0,C,var_l1,0.690292
0.04,7.0,H_own,var_l1,0.0
0.04,7.0,H_rent,var_l1,1.175743
0.04,7.0,Q,var_l1,0.044624
0.04,7.0,Y,var_l1,6.0
0.04,8.0,C,var_l1,0.796952
0.04,8.0,H_own,var_l1,0.0
0.04,8.0,H_rent,var_l1,1.358332
0.04,8.0,Q,var_l1,0.045027
0.04,8.0,Y,var_l1,7.0
0.04,9.0,C,var_l1,0.818012
0.04,9.0,H_own,var_l1,0.0
0.04,9.0,H_rent,var_l1,1.393392
0.04,9.0,Q,var_l1,0.045027
0.04,9.0,Y,var_l1,7.0
0.04,10.0,C,var_l1,0.947059
0.04,10.0,H_own,var_l1,0.0
0.04,10.0,H_rent,var_l1,1.613371
0.04,10.0,Q,var_l1,0.049872
0.04,10.0,Y,var_l1,9.0
0.05,6.0,C,var_l1,0.5417785
0.05,6.0,H_own,var_l1,0.0
0.05,6.0,H_rent,var_l1,0.923155
0.05,6.0,Q,var_l1,0.0536545
0.05,6.0,Y,var_l1,5.0
0.05,7.0,C,var_l1,0.6126105
0.05,7.0,H_own,var_l1,0.0
0.05,7.0,H_rent,var_l1,1.044291
0.05,7.0,Q,var_l1,0.05203
0.05,7.0,Y,var_l1,6.0
0.05,8.0,C,var_l1,0.8018135
0.05,8.0,H_own,var_l1,0.0
0.05,8.0,H_rent,var_l1,1.366941
0.05,8.0,Q,var_l1,0.054662
0.05,8.0,Y,var_l1,7.0
0.05,9.0,C,var_l1,0.850513
0.05,9.0,H_own,var_l1,0.0
0.05,9.0,H_rent,var_l1,1.449338
0.05,9.0,Q,var_l1,0.057611
0.05,9.0,Y,var_l1,8.0
0.05,10.0,C,var_l1,0.850383
0.05,10.0,H_own,var_l1,0.0
0.05,10.0,H_rent,var_l1,1.449152
0.05,10.0,Q,var_l1,0.059299
0.05,10.0,Y,var_l1,8.0
0.06,6.0,C,var_l1,0.563196
0.06,6.0,H_own,var_l1,0.0
0.06,6.0,H_rent,var_l1,0.960056
0.06,6.0,Q,var_l1,0.060587
0.06,6.0,Y,var_l1,5.0
